desig,popular,type,con,ra_h,dec_deg,size_arcmin,mag,magband,sb
ESO056-115,Large Magellanic Cloud,GAL_SB,Dor,5.39306,-69.7558,646.0,0.4,V,23.45
NGC292,Small Magellanic Cloud,GAL_SB,Tuc,0.87917,-72.8283,299.92,2.2,V,23.42
NGC6960,Veil Nebula,REMNANT,Cyg,20.76583,30.595,210.0,7.0,B,
IC353,,NEBULA,Tau,3.88333,25.8478,181.97,,V,
IC360,,NEBULA,Tau,4.15056,26.1311,180.0,,V,
NGC1909,Witch Head Nebula,REFLECTION,Eri,5.08167,-7.2656,180.0,,V,
M31,Andromeda Galaxy,GAL_GENERIC,And,0.71194,41.2689,177.83,3.44,V,23.63
NGC1499,California Nebula,NEBULA,Per,4.05389,36.3672,160.0,5.0,B,
M45,Pleiades,OPENCLUSTER,Tau,3.79139,24.1053,150.0,1.2,V,
IC341,,NEBULA,Tau,3.68194,21.96,134.9,,V,
IC354,,NEBULA,Tau,3.89917,23.1469,128.82,,V,
IC1831,,NEBULA,Cas,2.73194,62.4114,120.23,,V,
NGC3372,Carina Nebula,HII,Car,10.75222,-59.8667,120.0,3.0,B,
NGC7000,North America Nebula,HII,Cyg,20.98806,44.5286,120.0,4.0,B,
M44,Praesepe Cluster,OPENCLUSTER,Cnc,8.67278,19.6719,108.6,3.1,V,
M42,Great Orion Nebula,CLUSTERNEB,Ori,5.58778,-5.3894,90.0,4.0,V,
IC434,Flame Nebula,HII,Ori,5.68333,-2.4539,90.0,11.0,B,
IC4628,,NEBULA,Sco,16.94917,-40.4508,89.13,,V,
NGC2238,Rosette Nebula,HII,Mon,6.51083,5.0131,80.0,6.0,B,
NGC2237,Rosette a,NEBULA,Mon,6.51528,5.0492,80.0,,V,
NGC6727,,REFLECTION,CrA,19.02806,-36.8764,80.0,,V,
M33,Triangulum Galaxy,GAL_SA,Tri,1.56417,30.66,62.09,5.72,V,23.61
IC1805,,CLUSTERNEB,Cas,2.54472,61.4567,60.0,6.5,V,
NGC1432,Maia Nebula,HII,Tau,3.76389,24.3678,60.0,,V,
IC4592,,REFLECTION,Sco,16.19944,-19.4544,60.0,3.9,B,
IC4604,Rho Ophiuchi Nebula,NEBULA,Oph,16.42528,-23.4367,60.0,5.1,B,
IC4701,,NEBULA,Sgr,18.27667,-16.6481,60.0,,V,
IC5070,Pelican Nebula,HII,Cyg,20.85028,44.4014,60.0,8.0,B,
NGC6992,,REMNANT,Cyg,20.93833,31.7425,60.0,7.0,B,
IC405,Flaming Star Nebula,NEBULA,Aur,5.27444,34.3561,50.0,10.0,B,
IC443,Gem a,REMNANT,Gem,6.27667,22.5317,50.0,12.0,B,
C009,Cave Nebula,HII,Cep,22.96472,62.5181,50.0,,V,
M8,Lagoon Nebula,NEBULA,Sgr,18.06139,-24.3803,45.0,5.8,V,
IC1848,,CLUSTERNEB,Cas,2.85306,60.4022,40.0,6.5,V,
NGC2174,Monkey Head Nebula,NEBULA,Ori,6.15667,20.6594,40.0,,V,
NGC6526,,NEBULA,Sgr,18.06806,-24.4417,40.0,,V,
IC5068,,HII,Cyg,20.84167,42.4775,40.0,,V,
NGC752,,OPENCLUSTER,And,1.95944,37.8333,39.0,5.7,V,
NGC2451,,OPENCLUSTER,Pup,7.75417,-37.9675,37.5,9.5,V,
NGC281,,HII,Cas,0.88306,56.6217,35.0,,V,
M67,King Cobra,OPENCLUSTER,Cnc,8.85556,11.8117,33.0,6.9,V,
NGC104,Tucanae Cluster,GLOBULAR,Tuc,0.40139,-72.0814,31.8,4.09,V,
NGC1435,Merope Nebula,NEBULA,Tau,3.76917,23.7647,30.0,,V,
NGC2024,,NEBULA,Ori,5.69528,-1.8564,30.0,,V,
NGC2736,Pencil Nebula,HII,Vel,9.00444,-45.9481,30.0,,V,
IC4605,,NEBULA,Sco,16.50306,-25.1153,30.0,4.7,B,
NGC55,,GAL_SB,Scl,0.24806,-39.1967,29.85,7.87,V,22.52
IC2391,Omicron Velae Cluster,OPENCLUSTER,Vel,8.67556,-53.0356,29.1,2.5,V,
M48,,OPENCLUSTER,Hya,8.22833,-5.7506,28.2,5.8,V,
M4,The Cats Eye,GLOBULAR,Sco,16.39306,-26.5256,28.2,5.4,V,
M20,Trifid Nebula,NEBULA,Sgr,18.045,-22.9717,28.0,8.5,V,
NGC1647,,OPENCLUSTER,Tau,4.76556,19.095,27.0,6.4,V,
NGC5139,Omega Centauri,GLOBULAR,Cen,13.44583,-47.4767,27.0,5.33,V,
NGC253,Sculptor Filament,GAL_SAB,Scl,0.79222,-25.2881,26.79,13.97,V,22.42
NGC5128,Centaurus a,GAL_S0,Cen,13.42417,-43.0192,25.88,6.84,V,23.59
IC349,Barnards Merope Nebula,REFLECTION,Tau,3.77194,23.9397,25.7,,V,
IC1340,,REMNANT,Cyg,20.93556,31.0478,25.12,,V,
IC447,,HII,Mon,6.51667,9.8972,25.0,7.7,B,
NGC6729,,NEBULA,CrA,19.03167,-36.9578,25.0,,V,
NGC7380,,CLUSTERNEB,Cep,22.78917,58.1322,25.0,7.2,V,
IC4665,,OPENCLUSTER,Oph,17.77417,5.6486,24.6,4.2,V,
NGC2516,,OPENCLUSTER,Car,7.96833,-60.7533,24.3,3.8,V,
NGC1787,,OPENCLUSTER,Dor,5.02889,-65.8231,24.0,10.92,V,
M35,,OPENCLUSTER,Gem,6.15139,24.3386,24.0,5.1,V,
IC4756,,OPENCLUSTER,---,18.64778,5.4619,24.0,4.6,V,
M101,The Pinwheel Galaxy,GAL_SAB,UMa,14.05333,54.3489,23.99,7.86,V,23.97
NGC4236,,GAL_SB,Dra,12.27806,69.4625,23.5,10.08,V,24.58
NGC4945,,GAL_GENERIC,Cen,13.09056,-49.4681,23.33,14.4,V,23.4
M34,,OPENCLUSTER,Per,2.70167,42.7461,22.5,5.2,V,
M7,Ptolemys Cluster,OPENCLUSTER,Sco,17.8975,-34.7928,22.2,3.3,V,
M81,Bodes Galaxy,GAL_SA,UMa,9.92556,69.0653,21.63,6.94,V,22.78
NGC2112,,OPENCLUSTER,Ori,5.89556,0.4106,21.0,9.1,V,
M46,,OPENCLUSTER,Pup,7.69639,-14.81,21.0,6.1,V,
NGC7822,,HII,Cep,0.05944,67.1614,20.0,,V,
M43,Mairans Nebula,HII,Ori,5.59167,-5.2675,20.0,9.0,V,
IC2177,,REFLECTION,Mon,7.07667,-10.4708,20.0,,V,
NGC3199,,NEBULA,Car,10.28972,-57.9219,20.0,,V,
IC2599,,HII,Car,10.62417,-58.7331,20.0,,V,
NGC3579,,NEBULA,Car,11.19972,-61.2431,20.0,,V,
IC4601,,NEBULA,Sco,16.33806,-20.0869,20.0,,V,
IC4603,,NEBULA,Oph,16.42306,-24.4681,20.0,,V,
NGC6188,Rim Nebula,NEBULA,Ara,16.66806,-48.6619,20.0,,V,
IC1274,,HII,Sgr,18.16417,-23.6481,20.0,,V,
IC1287,,REFLECTION,Sct,18.52389,-10.7956,20.0,6.1,B,
NGC6888,Crescent Nebula,HII,Cyg,20.20167,38.3547,20.0,7.44,B,
NGC2403,,GAL_SAB,Cam,7.61417,65.6025,19.95,8.38,V,23.48
M47,,OPENCLUSTER,Pup,7.60944,-14.4822,19.8,4.4,V,
IC342,,GAL_SAB,Cam,3.78028,68.0961,19.77,10.5,B,24.85
NGC247,,GAL_SAB,Cet,0.78556,-20.7603,19.68,9.1,V,23.79
NGC1333,,CLUSTERNEB,Per,3.48167,31.37,19.5,10.9,B,
M39,,OPENCLUSTER,Cyg,21.53,48.4381,19.5,4.6,V,
NGC300,,GAL_SA,Scl,0.91444,-37.6842,19.41,8.13,V,23.59
NGC2477,,OPENCLUSTER,Pup,7.86917,-38.5331,18.6,5.8,V,
IC1613,,GAL_IRR,Cet,1.08,2.1178,18.32,10.01,V,25.0
NGC1746,,OPENCLUSTER,Tau,5.06389,23.7675,18.0,6.1,V,
NGC2052,,NEBULA,Dor,5.61944,-69.7742,18.0,,V,
NGC5822,,OPENCLUSTER,Lup,15.07222,-54.3964,18.0,6.5,V,
NGC188,,OPENCLUSTER,Cep,0.79083,85.2694,17.7,8.1,V,
NGC6822,Barnards Galaxy,GAL_IRR,Sgr,19.74917,-14.8031,17.38,8.1,V,24.25
M106,,GAL_SA,CVn,12.31583,47.3039,16.98,8.41,V,23.36
IC1284,,NEBULA,Sgr,18.29417,-19.6717,16.98,7.7,B,
M23,,OPENCLUSTER,Sgr,17.95139,-18.9853,16.8,5.5,V,
NGC4565,Needle Galaxy,GAL_SA,Com,12.60556,25.9875,16.75,12.43,V,23.75
NGC2546,,OPENCLUSTER,Pup,8.20417,-37.5942,16.5,6.3,V,
M13,Hercules Globular Cluster,GLOBULAR,Her,16.695,36.4611,16.5,5.8,V,
NGC7293,Helix Nebula,PLANETARY,Aqr,22.49417,-20.8369,16.33,7.3,V,
M110,,GAL_E,And,0.67278,41.6853,16.22,8.07,V,23.78
NGC4244,,GAL_SA,CVn,12.29167,37.8069,16.22,10.71,B,24.57
M3,,GLOBULAR,CVn,13.70306,28.3753,16.2,6.39,V,
NGC2070,Tarantula Nebula,HII,Dor,5.64472,-69.1006,16.0,7.25,V,
NGC3109,,GAL_SB,Hya,10.05167,-26.1594,16.0,10.04,V,23.59
NGC6744,,GAL_SA,Pav,19.16278,-63.8575,15.67,8.25,V,23.47
M6,Butterfly Cluster,OPENCLUSTER,Sco,17.67222,-32.2542,15.6,4.2,V,
NGC6397,,GLOBULAR,Ara,17.67806,-53.6733,15.3,5.17,V,
IC2872,,NEBULA,Cen,11.46889,-62.9889,15.14,,V,
IC359A,,REFLECTION,Tau,4.31139,28.2897,15.0,,V,
IC448,,HII,Mon,6.54556,7.3886,15.0,,V,
M93,,OPENCLUSTER,Pup,7.74139,-23.8531,15.0,6.2,V,
IC4685,,NEBULA,Sgr,18.155,-23.9869,15.0,,V,
NGC6559,,NEBULA,Sgr,18.16556,-24.1064,15.0,,V,
IC1283,,HII,Sgr,18.28806,-19.7619,15.0,,V,
IC1310,,CLUSTERNEB,Cyg,20.16667,34.9689,15.0,,V,
NGC7243,,OPENCLUSTER,Lac,22.2525,49.8975,15.0,6.4,V,
NGC7635,Bubble Nebula,HII,Cas,23.34583,61.2122,15.0,11.0,B,
NGC4631,Whale Galaxy,GAL_SB,CVn,12.70194,32.5414,14.45,9.19,V,22.44
NGC869,H Persei Cluster,OPENCLUSTER,Per,2.31639,57.1172,14.4,3.7,V,
Mel071,,OPENCLUSTER,Pup,7.62583,-12.0547,14.4,7.1,V,
M92,,GLOBULAR,Her,17.28528,43.1364,14.4,6.52,V,
NGC7789,,OPENCLUSTER,Cas,23.95667,56.7081,14.4,6.7,V,
M50,,OPENCLUSTER,Mon,7.04417,-8.3642,14.1,5.9,V,
M25,,OPENCLUSTER,Sgr,18.52944,-19.1147,14.1,4.6,V,
IC1396,,CLUSTERNEB,Cep,21.64917,57.4889,14.0,,V,
NGC1662,,OPENCLUSTER,Ori,4.80806,10.9303,13.8,6.4,V,
NGC6231,,OPENCLUSTER,Sco,16.90306,-41.8242,13.8,2.6,V,
NGC6366,,GLOBULAR,Oph,17.46194,-5.0767,13.8,,V,
M51,Whirlpool Galaxy,GAL_SAB,CVn,13.49806,47.195,13.71,8.36,V,22.9
M83,Southern Pinwheel Galaxy,GAL_SA,Hya,13.61667,-29.8656,13.61,7.52,V,22.2
NGC6124,,OPENCLUSTER,Sco,16.42194,-40.6533,13.5,5.8,V,
NGC1316,Fornax a,GAL_S0,For,3.37806,-37.2081,13.46,8.53,V,23.77
NGC5460,,OPENCLUSTER,Cen,14.12417,-48.3425,13.2,5.6,V,
NGC6752,,GLOBULAR,Pav,19.18083,-59.9817,13.2,6.28,V,
NGC891,,GAL_SA,And,2.37556,42.3489,13.03,9.93,V,24.17
IC417,,HII,Aur,5.46806,34.4239,13.0,,V,
NGC185,,GAL_E,Cas,0.64917,48.3372,12.94,9.2,V,24.58
IC2574,Coddingtons Nebula,GAL_SAB,UMa,10.47306,68.4119,12.91,10.87,V,24.38
M17,Horseshoe Nebula,NEBULA,Sgr,18.34639,-16.1717,12.6,7.0,V,
M22,Great Sagittarius Cluster,GLOBULAR,Sgr,18.60667,-23.9031,12.6,6.17,V,
NGC2539,,OPENCLUSTER,Pup,8.17667,-12.8206,12.3,6.5,V,
NGC3114,,OPENCLUSTER,Car,10.04167,-60.1306,12.3,4.2,V,
NGC1365,,GAL_SA,For,3.56,-36.1403,12.02,9.63,V,24.01
IC1795,,HII,Cas,2.44194,62.0414,12.0,,V,
NGC2183,,HII,Mon,6.17944,-6.2117,12.0,15.15,B,
M41,,OPENCLUSTER,CMa,6.76667,-20.7542,12.0,4.5,V,
NGC3532,Wishing Well Cluster,OPENCLUSTER,Car,11.09667,-58.7706,12.0,3.0,V,
NGC4372,,GLOBULAR,Mus,12.42917,-72.6592,12.0,9.85,V,
IC4591,,HII,Sco,16.20472,-27.9278,12.0,,V,
NGC6633,,OPENCLUSTER,Oph,18.45417,6.5081,12.0,4.6,V,
M55,,GLOBULAR,Sgr,19.66639,-30.9619,12.0,6.49,V,
NGC6939,,OPENCLUSTER,Cep,20.52472,60.6619,12.0,7.8,V,
NGC6995,,REMNANT,Cyg,20.95306,31.235,12.0,7.0,B,
NGC2903,,GAL_SA,Leo,9.53583,21.5006,11.94,9.07,V,23.02
M63,Sunflower Galaxy,GAL_SA,CVn,13.26333,42.0292,11.83,8.59,V,23.04
NGC744,,OPENCLUSTER,Per,1.975,55.4744,11.7,7.9,V,
NGC2423,,OPENCLUSTER,Pup,7.61833,-13.8714,11.7,6.7,V,
M86,,GAL_E,Vir,12.43667,12.9461,11.53,8.9,V,23.9
NGC1245,,OPENCLUSTER,Per,3.24444,47.2386,11.4,8.4,V,
NGC1664,,OPENCLUSTER,Aur,4.85139,43.6761,11.4,7.6,V,
M37,,OPENCLUSTER,Aur,5.87167,32.5528,11.4,5.6,V,
NGC2264,Christmas Tree Cluster,CLUSTERNEB,Mon,6.68278,9.8953,11.4,3.9,V,
NGC6025,,OPENCLUSTER,TrA,16.05472,-60.4314,11.4,5.1,V,
NGC6946,Fireworks Galaxy,GAL_SAB,Cyg,20.58083,60.1539,11.4,10.5,B,23.73
NGC5907,,GAL_SAB,Dra,15.265,56.3286,11.3,11.4,B,23.6
NGC1532,,GAL_SB,Eri,4.20083,-32.8742,11.27,10.65,B,23.78
NGC1269,,GAL_S0A,Eri,3.28833,-41.1081,11.17,8.81,V,23.36
M12,Gumball Cluster,GLOBULAR,Oph,16.7875,-1.9478,11.1,6.07,V,
M15,Great Pegasus Cluster,GLOBULAR,Peg,21.49917,12.1667,11.1,6.3,V,
NGC1313,,GAL_SB,Ret,3.30417,-66.4981,11.07,10.0,V,23.44
NGC3628,,GAL_SB,Leo,11.33806,13.5894,11.04,9.48,V,23.13
M98,,GAL_SAB,Com,12.23,14.9003,11.04,10.14,V,23.89
M82,Cigar Galaxy,GAL_SA,UMa,9.93139,69.6792,10.99,8.41,V,22.22
IC430,,NEBULA,Ori,5.64306,-7.0831,10.96,14.4,V,
NGC2281,,OPENCLUSTER,Aur,6.80472,41.0786,10.8,5.4,V,
NGC2301,Great Bird Cluster,OPENCLUSTER,Mon,6.86222,0.4592,10.8,6.0,V,
NGC2506,,OPENCLUSTER,Mon,8.00056,-10.7694,10.8,7.6,V,
NGC6940,,OPENCLUSTER,Vul,20.57417,28.2825,10.8,6.3,V,
NGC925,,GAL_SA,Tri,2.45444,33.5792,10.72,10.12,V,23.94
NGC1097,,GAL_SB,For,2.77167,-30.2747,10.57,9.48,V,23.63
NGC4559,,GAL_SA,Com,12.59917,27.96,10.57,10.01,V,23.48
M64,Black Eye Galaxy,GAL_SAB,Com,12.94556,21.6828,10.52,8.52,V,22.68
NGC884,Chi Persei Cluster,OPENCLUSTER,Per,2.37556,57.1439,10.5,3.8,V,
NGC7793,,GAL_SA,Scl,23.96389,-32.5908,10.42,9.28,V,23.05
M66,Leo Triplet,GAL_SA,Leo,11.3375,12.9914,10.28,8.92,V,22.96
NGC2997,,GAL_SAB,Ant,9.76056,-31.1908,10.26,9.41,V,23.42
M49,,GAL_E,Vir,12.49639,8.0003,10.21,12.17,V,23.25
NGC957,,OPENCLUSTER,Per,2.55528,57.5694,10.2,7.6,V,
NGC1502,,OPENCLUSTER,Cam,4.13028,62.3314,10.2,6.9,V,
NGC1579,,CLUSTERNEB,Per,4.50389,35.2692,10.2,,V,
NGC1977,Running Man Nebula,CLUSTERNEB,Ori,5.58778,-4.8442,10.2,,V,
NGC6087,S Nor Cluster,OPENCLUSTER,Nor,16.31417,-57.9344,10.2,5.4,V,
NGC6281,,OPENCLUSTER,Sco,17.07806,-37.9853,10.2,5.4,V,
IC59,,REFLECTION,Cas,0.95806,61.1436,10.0,,V,
IC63,,HII,Cas,0.99139,60.9117,10.0,13.33,B,
NGC896,,NEBULA,Cas,2.42417,62.0192,10.0,,V,
IC348,Omicron Persei Cloud,CLUSTERNEB,Per,3.74278,32.1628,10.0,,V,
NGC1945,,EMISSION,Dor,5.41528,-66.4572,10.0,,V,
NGC1975,,NEBULA,Ori,5.58806,-4.6853,10.0,7.0,B,
IC426,,NEBULA,Ori,5.60833,0.2981,10.0,,V,
IC432,,REFLECTION,Ori,5.68194,-1.5067,10.0,,V,
NGC2023,,REFLECTION,Ori,5.69389,-2.2592,10.0,,V,
NGC2064,,REFLECTION,Ori,5.77167,0.0058,10.0,,V,
NGC2246,Rosette B,NEBULA,Mon,6.54278,5.1281,10.0,,V,
NGC2359,,HII,CMa,7.30833,-13.2269,10.0,,V,
IC4812,,NEBULA,CrA,19.01778,-37.0603,10.0,,V,
NGC6847,,CLUSTERNEB,Cyg,19.94389,30.2128,10.0,,V,
NGC7023,Iris Nebula,NEBULA,Cep,21.02667,68.1694,10.0,7.2,B,
IC5146,Cocoon Nebula,CLUSTERNEB,Cyg,21.89139,47.2667,10.0,7.2,V,
NGC5084,,GAL_S0,Vir,13.33806,-21.8275,9.93,12.21,V,25.22
NGC2232,,OPENCLUSTER,Mon,6.46667,-4.8475,9.9,3.9,V,
NGC5316,,OPENCLUSTER,Cen,13.89917,-61.8692,9.9,6.0,V,
NGC5897,,GLOBULAR,Lib,15.28972,-21.01,9.9,8.52,V,
M52,The Scorpion,OPENCLUSTER,Cas,23.41306,61.5931,9.9,6.9,V,
M74,,GAL_SA,Psc,1.61167,15.7836,9.89,9.46,V,23.37
NGC5033,,GAL_SA,CVn,13.22417,36.5939,9.84,12.03,V,23.78
NGC3621,,GAL_SB,Hya,11.30444,-32.8142,9.79,9.56,V,23.03
NGC4725,,GAL_SAB,Com,12.84056,25.5006,9.71,12.44,V,23.39
NGC5102,,GAL_ES0,Cen,13.36583,-36.6303,9.71,9.65,V,23.87
NGC288,,GLOBULAR,Scl,0.87944,-26.5897,9.6,8.13,V,
NGC1528,,OPENCLUSTER,Per,4.25528,51.2114,9.6,6.4,V,
M38,,OPENCLUSTER,Aur,5.47806,35.8547,9.6,6.4,V,
NGC3201,,GLOBULAR,Vel,10.29333,-46.4108,9.6,8.24,V,
NGC6250,,CLUSTERNEB,Ara,16.96556,-45.9367,9.6,5.9,V,
IC4651,,OPENCLUSTER,Ara,17.41333,-49.9381,9.6,6.9,V,
IC1276,,GLOBULAR,---,18.17889,-7.2072,9.6,,V,
NGC6604,,OPENCLUSTER,---,18.30056,-12.2431,9.6,6.5,V,
NGC7142,,OPENCLUSTER,Cep,21.75278,65.7742,9.6,9.3,V,
NGC2683,,GAL_SA,Lyn,8.87806,33.4217,9.48,9.79,V,22.76
NGC147,,GAL_E,Cas,0.55306,48.5086,9.4,9.5,V,24.29
NGC1817,,OPENCLUSTER,Tau,5.20694,16.6839,9.3,7.7,V,
NGC1980,Lower Sword,CLUSTERNEB,Ori,5.59056,-5.91,9.3,2.5,V,
NGC2239,,CLUSTERNEB,Mon,6.53194,4.9428,9.3,4.8,V,
NGC2520,,OPENCLUSTER,Pup,8.08278,-28.1467,9.3,6.5,V,
M10,,GLOBULAR,Oph,16.9525,-4.0992,9.3,4.98,V,
NGC6723,,GLOBULAR,Sgr,18.99222,-36.6314,9.3,,V,
NGC6871,,OPENCLUSTER,Cyg,20.09944,35.7772,9.3,5.2,V,
NGC7331,,GAL_SA,Peg,22.61778,34.4153,9.27,9.48,V,23.08
NGC4438,,GAL_SA,Vir,12.46278,13.0086,9.16,10.17,V,24.21
M90,,GAL_SA,Vir,12.61389,13.1628,9.12,9.54,V,23.16
NGC4517,,GAL_SA,Vir,12.54583,0.115,9.02,11.1,B,23.18
NGC559,,OPENCLUSTER,Cas,1.49222,63.3014,9.0,9.5,V,
NGC1491,,HII,Per,4.05389,51.3158,9.0,,V,
NGC1851,,GLOBULAR,Col,5.23528,-40.0467,9.0,7.23,V,
NGC1981,Upper Sword,CLUSTERNEB,Ori,5.58583,-4.4247,9.0,4.2,V,
NGC2360,Carolines Cluster,OPENCLUSTER,CMa,7.29528,-15.6414,9.0,7.2,V,
NGC2374,,OPENCLUSTER,CMa,7.39889,-13.2631,9.0,8.0,V,
NGC2808,,GLOBULAR,Car,9.20056,-64.8628,9.0,5.69,V,
M53,,GLOBULAR,Com,13.21528,18.1689,9.0,7.79,V,
NGC6469,,OPENCLUSTER,Sgr,17.88667,-22.2747,9.0,8.2,V,
M11,Amas De Lecu De Sobieski,OPENCLUSTER,Sct,18.85167,-6.2697,9.0,5.8,V,
NGC6726,,REFLECTION,CrA,19.02722,-36.8914,9.0,,V,
NGC7082,,OPENCLUSTER,Cyg,21.48806,47.1261,9.0,7.2,V,
M30,,GLOBULAR,Cap,21.67278,-23.1792,9.0,7.1,V,
NGC362,,GLOBULAR,Tuc,1.05389,-70.8481,8.7,6.58,V,
NGC2194,,OPENCLUSTER,Ori,6.22917,12.8067,8.7,8.5,V,
NGC2324,,OPENCLUSTER,Mon,7.06889,1.0444,8.7,8.4,V,
NGC2335,,OPENCLUSTER,Mon,7.11333,-10.0283,8.7,7.2,V,
NGC2439,,OPENCLUSTER,Pup,7.67917,-31.6922,8.7,6.9,V,
NGC6709,,OPENCLUSTER,Aql,18.85528,10.3186,8.7,6.7,V,
M88,,GAL_SA,Com,12.53306,14.4203,8.65,13.18,V,23.17
NGC1399,,GAL_E,For,3.64139,-35.4506,8.51,9.59,V,23.95
NGC2081,,CLUSTERNEB,Dor,5.66639,-69.4056,8.5,,V,
M104,Sombrero Galaxy,GAL_SA,Crv,12.66639,-11.6231,8.45,8.0,V,22.26
NGC1512,,GAL_SA,Hor,4.065,-43.3489,8.43,10.54,V,24.11
NGC2158,,OPENCLUSTER,Gem,6.12389,24.0961,8.4,8.6,V,
NGC2215,,OPENCLUSTER,Mon,6.34667,-7.2839,8.4,8.45,V,
NGC2669,,OPENCLUSTER,Vel,8.77306,-52.9472,8.4,6.1,V,
Mel101,,OPENCLUSTER,Car,10.70306,-65.0997,8.4,8.0,V,
NGC4833,,GLOBULAR,Mus,12.99306,-70.8744,8.4,7.79,V,
NGC6208,,OPENCLUSTER,Ara,16.82417,-53.7281,8.4,7.2,V,
NGC6334,,REMNANT,Sco,17.34694,-36.1028,8.4,,V,
NGC6362,,GLOBULAR,Ara,17.53167,-67.0478,8.4,8.86,V,
NGC6388,,GLOBULAR,Sco,17.60444,-44.7356,8.4,7.4,B,
M2,,GLOBULAR,Aqr,21.5575,0.8231,8.4,6.25,V,
NGC134,,GAL_SAB,Scl,0.50583,-33.2442,8.38,10.12,V,23.4
NGC3521,,GAL_SAB,Leo,11.09667,0.0356,8.32,9.02,V,22.75
NGC1560,,GAL_SA,Cam,4.54667,71.8831,8.3,12.1,B,24.08
M96,,GAL_SA,Leo,10.77917,11.8197,8.26,9.25,V,23.14
NGC4762,,GAL_S0,Vir,12.88194,11.2306,8.26,11.1,B,24.3
NGC3079,,GAL_GENERIC,UMa,10.03278,55.6797,8.18,10.86,V,23.17
NGC4535,,GAL_SA,Vir,12.57194,8.1975,8.15,11.1,B,23.79
NGC7090,,GAL_SA,Ind,21.60806,-54.5569,8.15,11.05,V,23.32
M89,,GAL_E,Vir,12.59417,12.5561,8.13,9.75,V,24.11
NGC5662,,OPENCLUSTER,Cen,14.59389,-56.6181,8.1,5.5,V,
NGC6067,,OPENCLUSTER,Nor,16.21944,-54.2189,8.1,5.6,V,
NGC6200,,OPENCLUSTER,Ara,16.73528,-47.4628,8.1,7.4,V,
NGC7640,,GAL_SA,And,23.36833,40.8453,8.09,11.6,B,23.61
M109,,GAL_SA,UMa,11.96,53.3744,8.07,9.88,V,23.45
NGC1448,,GAL_SA,Hor,3.74194,-44.6444,8.02,11.46,B,23.27
M1,The Crab Nebula,REMNANT,Tau,5.57556,22.0144,8.0,8.4,V,
IC431,,REFLECTION,Ori,5.67056,-1.4628,8.0,,V,
NGC2067,,REFLECTION,Ori,5.77556,0.1311,8.0,,V,
IC444,,REFLECTION,Gem,6.30917,23.3131,8.0,7.03,B,
NGC4656,,GAL_PAIR,CVn,12.73278,32.1681,8.0,,V,
NGC7538,,CLUSTERNEB,Cep,23.22722,61.5122,8.0,,V,
NGC5170,,GAL_SA,Vir,13.49667,-17.9664,7.96,10.79,V,23.95
NGC3263,,GAL_GENERIC,Vel,10.48667,-44.1231,7.83,11.46,B,24.4
NGC4216,,GAL_SAB,Vir,12.265,13.1492,7.82,10.01,V,23.12
NGC457,Owl Cluster,OPENCLUSTER,Cas,1.32556,58.2906,7.8,6.4,V,
NGC1027,,OPENCLUSTER,Cas,2.70944,61.5942,7.8,6.7,V,
NGC1582,,OPENCLUSTER,Per,4.52944,43.7847,7.8,7.0,V,
NGC2547,,OPENCLUSTER,Vel,8.16917,-49.2056,7.8,4.7,V,
NGC4103,,OPENCLUSTER,Cru,12.11083,-61.25,7.8,7.4,V,
M107,,GLOBULAR,Oph,16.54194,-13.0533,7.8,8.85,V,
M62,Flickering Globular,GLOBULAR,Oph,17.02028,-30.1125,7.8,7.39,V,
NGC6568,,OPENCLUSTER,Sgr,18.21194,-21.6281,7.8,8.6,V,
NGC7039,,OPENCLUSTER,Cyg,21.17972,45.6217,7.8,7.6,V,
M32,,GAL_E,And,0.71167,40.8653,7.74,8.08,V,22.17
M94,Crocs Eye Galaxy,GAL_SAB,CVn,12.84806,41.1203,7.74,8.24,V,21.79
M65,Leo Triplet,GAL_SA,Leo,11.31556,13.0922,7.64,9.32,V,22.73
NGC2613,,GAL_SA,Pyx,8.55639,-22.9733,7.62,10.42,V,23.28
NGC6249,,OPENCLUSTER,Sco,16.96167,-44.8117,7.6,8.2,V,
IC5134,,NEBULA,Cep,21.71639,66.1028,7.59,,V,
NGC2343,,OPENCLUSTER,Mon,7.13528,-10.6167,7.5,6.7,V,
Mel072,,OPENCLUSTER,Pup,7.4775,-10.6997,7.5,10.1,V,
NGC2420,,OPENCLUSTER,Gem,7.63972,21.5739,7.5,8.3,V,
NGC2925,,OPENCLUSTER,Vel,9.55306,-53.3958,7.5,8.3,V,
NGC6192,,OPENCLUSTER,Sco,16.67306,-43.3667,7.5,8.5,V,
M19,,GLOBULAR,Oph,17.04389,-26.2681,7.5,5.57,V,
NGC6541,,GLOBULAR,CrA,18.13389,-43.7156,7.5,7.32,V,
NGC5068,,GAL_SA,Vir,13.31528,-21.0392,7.48,10.01,V,23.65
NGC3432,,GAL_SB,LMi,10.87528,36.6186,7.41,11.67,V,23.63
M84,,GAL_E,Vir,12.41778,12.8869,7.41,10.49,V,23.23
NGC1023,,GAL_ES0,Per,2.67306,39.0631,7.4,9.35,V,22.59
NGC3184,,GAL_SAB,UMa,10.30444,41.4239,7.4,10.4,B,23.47
NGC5746,,GAL_SA,Vir,14.74889,1.955,7.24,12.3,B,23.19
NGC1566,,GAL_SAB,Dor,4.33306,-54.9378,7.23,9.73,V,23.03
